Station_number,Year,Month,Day,min,max,Rainfall,Solar_exposure
86344,2000,10,24,15,16,23,-
86344,2000,10,25,12,13,12,-
86344,2000,10,28,8,12,2,-
86344,2000,10,30,10,16,0.2,-
86344,2000,11,2,14,19,8,-
86344,2000,11,3,13,16,5,-
86344,2000,11,11,16,18,0.6,-
86344,2000,11,12,15,17,0.6,-
86344,2000,12,1,13,16,1,-
86344,2000,12,2,12,21,0.6,-
86344,2000,12,8,14,17,-,-
86344,2000,12,22,19,24,1,-
86344,2000,12,23,15,23,13,-
86344,2000,12,27,8,14,1,-
86344,2000,12,28,9,15,4,-
86344,2000,12,29,10,15,0.6,-
86344,2001,1,3,19,21,0.2,-
86344,2001,1,5,17,18,0.6,-
86344,2001,1,23,17,22,0.2,-
86344,2001,1,25,19,25,5,-
86344,2001,1,26,21,24,0.2,-
86344,2001,1,27,16,22,0.4,-
86344,2001,2,5,17,21,2,-
86344,2001,2,9,19,20,3,-
86344,2001,2,11,17,21,-,-
86344,2001,2,13,18,22,8,-
86344,2001,2,15,14,17,0.8,-
86344,2001,3,13,12,17,0.2,-
86344,2001,3,17,12,17,13,-
86344,2001,3,18,13,17,0.2,-
86344,2001,3,21,12,18,5,-
86344,2001,3,22,11,18,22,-
86344,2001,3,23,13,17,34,-
86344,2001,3,25,15,19,-,-
86344,2001,3,28,11,15,2,-
86344,2001,4,2,14,15,0.4,-
86344,2001,4,3,14,18,0.2,-
86344,2001,4,9,11,19,6,-
86344,2001,4,11,12,15,3,-
86344,2001,4,12,9,15,0.8,-
86344,2001,4,20,11,15,0.2,-
86344,2001,4,21,12,16,0.2,-
86344,2001,4,25,13,16,-,-
86344,2001,4,27,14,15,-,-
86344,2001,4,28,11,15,3,-
86344,2001,5,5,13,17,3,-
86344,2001,5,6,13,16,0.4,-
86344,2001,5,7,12,18,0.2,-
86344,2001,5,11,11,15,-,-
86344,2001,5,21,13,14,-,-
86344,2001,5,22,12,15,0.4,-
86344,2001,5,24,8,14,0.4,-
86344,2001,5,25,10,15,0.8,-
86344,2001,5,28,11,15,6.2,-
86344,2001,5,29,10,14,1,-
86344,2001,5,30,10,13,5,-
86344,2001,5,31,11,13,1,-
86344,2001,6,6,13,17,2,-
86344,2001,6,10,12,15,-,-
86344,2001,6,18,10,12,-,-
86344,2001,6,21,10,13,2,-
86344,2001,6,22,11,15,0.4,-
86344,2001,7,4,7,13,-,-
86344,2001,7,6,9,13,0.6,-
86344,2001,7,7,9,15,0.4,-
86344,2001,7,10,12,15,-,-
86344,2001,7,12,11,13,0.2,-
86344,2001,7,13,11,14,2,-
86344,2001,7,15,11,13,0.2,-
86344,2001,7,18,9,13,1,-
86344,2001,7,19,10,13,3,-
86344,2001,7,20,11,13,1,-
86344,2001,7,21,11,12,0.8,-
86344,2001,7,28,10,12,0.6,-
86344,2001,8,1,11,12,-,-
86344,2001,8,2,8,13,1,-
86344,2001,8,5,10,13,6,-
86344,2001,8,6,8,13,0.4,-
86344,2001,8,8,8,13,1,-
86344,2001,8,14,9,15,0.6,-
86344,2001,8,18,6,10.7,7,-
86344,2001,8,19,8.6,15,0.2,-
86344,2001,8,20,9,11,14,-
86344,2001,8,22,5,11,11,-
86344,2001,8,23,7,12,1,-
86344,2001,8,29,10,15,-,-
86344,2001,9,2,10.6,14,0.4,-
86344,2001,9,4,10,13,5,-
86344,2001,9,5,8,15,3,-
86344,2001,9,8,11,13,0.8,-
86344,2001,9,9,9,13,4,-
86344,2001,9,10,11,15,0.4,-
86344,2001,9,23,10,21,1,-
86344,2001,9,25,12,13,6,-
86344,2001,9,26,8,13,1,-
86344,2001,10,1,15,19,5,-
86344,2001,10,4,11,13,2,-
86344,2001,10,5,10,14,0.4,-
86344,2001,10,6,10,16,1,-
86344,2001,10,7,8,14,4,-
86344,2001,10,8,11,13,3,-
86344,2001,10,9,11,15,0.2,-
86344,2001,10,12,10,15,4,-
86344,2001,10,13,11,15,0.4,-
86344,2001,10,14,10,14,6,-
86344,2001,10,16,10,15,4,-
86344,2001,10,18,11,12,0.2,-
86344,2001,10,19,6,12,4,-
86344,2001,10,20,7,13,0.6,-
86344,2001,10,24,8,20,12,-
86344,2001,10,26,13,16,0.8,-
86344,2001,10,27,11,16,4,-
86344,2001,10,30,11,16,2,-
86344,2001,10,31,11,14,0.8,-
86344,2001,11,2,11,14,0.6,-
86344,2001,11,6,13,14,6,-
86344,2001,11,7,11,14,0.8,-
86344,2001,11,11,7,12,12,-
86344,2001,11,12,8,13,16,-
86344,2001,11,13,10,14,2,-
86344,2001,11,18,9,13,14,-
86344,2001,11,19,10,14,1,-
86344,2001,11,24,14,22,3,-
86344,2001,11,25,15,19,2,-
86344,2001,11,26,12,17,4,-
86344,2001,11,27,12,15,0.4,-
86344,2001,11,28,12,16,0.6,-
86344,2001,12,5,12,17,-,-
86344,2001,12,7,12,14,7,-
86344,2001,12,8,11,15,0.8,-
86344,2001,12,11,11,14,1,-
86344,2001,12,12,11,15,0.8,-
86344,2001,12,13,12,15,0.2,-
86344,2001,12,26,10,14,0.6,-
86344,2001,12,27,9,17,0.8,-
86344,2001,12,28,13,19,0.6,-
86344,2002,1,1,13,17,2,-
86344,2002,1,2,12,16,0.4,-
86344,2002,1,3,12,16,0.6,-
86344,2002,1,7,13,18,0.2,-
86344,2002,1,8,12,15,2,-
86344,2002,1,22,15,18,3,-
86344,2002,1,23,15,17,0.4,-
86344,2002,1,28,16,22,0.2,-
86344,2002,1,30,16,19,0.2,-
86344,2002,2,8,13,19,6,-
86344,2002,2,10,11,17,1,-
86344,2002,2,11,13,18,0.4,-
86344,2002,2,16,16,18,2,-
86344,2002,2,21,13,18,0.6,-
86344,2002,3,1,12,17,2,-
86344,2002,3,2,13,17,1,-
86344,2002,3,3,13,17,2,-
86344,2002,3,21,13,17,2,-
86344,2002,3,26,16,17,8,-
86344,2002,3,27,15,17,1,-
86344,2002,3,28,15,17,0.2,-
86344,2002,3,30,13,15,0.4,-
86344,2002,4,4,13,15,0.6,-
